Site,Treatment,Plot,Year,Crop,Crop_planting_date,Crop_harvest_date,N_input,N_output,Cover_crop_1,Cover_crop_1_planting_date,Cover_crop_1_termination_date,Cover_crop_2,Cover_crop_2_planting_date,Cover_crop_2_termination_date
KBS_MCSE,T1,T1R1,2021,SOY,5/14/2021,9/30/2021,67.75058321,228.9671861,WHEAT,,,,,
KBS_MCSE,T1,T1R2,2021,SOY,5/14/2021,9/30/2021,75.765911,271.1063552,WHEAT,,,,,
KBS_MCSE,T1,T1R3,2021,SOY,5/14/2021,9/30/2021,79.76137437,274.9682142,WHEAT,,,,,
KBS_MCSE,T1,T1R4,2021,SOY,5/14/2021,9/30/2021,76.09666456,268.0348301,WHEAT,,,,,
KBS_MCSE,T1,T1R5,2021,SOY,5/14/2021,9/30/2021,71.42080525,265.0082103,WHEAT,,,,,
KBS_MCSE,T1,T1R6,2021,SOY,5/14/2021,9/29/2021,69.72111646,245.7168771,WHEAT,,,,,
KBS_MCSE,T2,T2R1,2021,SOY,5/11/2021,9/30/2021,64.10103403,247.8056168,WHEAT,,,,,
KBS_MCSE,T2,T2R2,2021,SOY,5/11/2021,9/30/2021,62.39775805,235.2103111,WHEAT,,,,,
KBS_MCSE,T2,T2R3,2021,SOY,5/11/2021,9/30/2021,58.48709133,245.2498616,WHEAT,,,,,
KBS_MCSE,T2,T2R4,2021,SOY,5/11/2021,9/30/2021,60.81804897,254.4259467,WHEAT,,,,,
KBS_MCSE,T2,T2R5,2021,SOY,5/11/2021,9/30/2021,52.92913085,219.8770627,WHEAT,,,,,
KBS_MCSE,T2,T2R6,2021,SOY,5/11/2021,9/30/2021,56.70703757,243.9925121,WHEAT,,,,,
KBS_MCSE,T3,T3R1,2021,SOY,5/22/2021,10/19/2021,40.68225709,210.2904145,WHEAT,,,,,
KBS_MCSE,T3,T3R2,2021,SOY,5/22/2021,10/19/2021,51.06216527,263.4750138,WHEAT,,,,,
KBS_MCSE,T3,T3R3,2021,SOY,5/22/2021,10/19/2021,46.54722191,224.4240489,WHEAT,,,,,
KBS_MCSE,T3,T3R4,2021,SOY,5/22/2021,10/19/2021,42.91821735,208.7020486,WHEAT,,,,,
KBS_MCSE,T3,T3R5,2021,SOY,5/22/2021,10/19/2021,50.07494985,250.4242395,WHEAT,,,,,
KBS_MCSE,T3,T3R6,2021,SOY,5/22/2021,10/19/2021,48.1318606,250.2407692,WHEAT,,,,,
KBS_MCSE,T4,T4R1,2021,SOY,5/27/2021,10/20/2021,44.12364574,201.7994566,WHEAT,,,,,
KBS_MCSE,T4,T4R2,2021,SOY,5/27/2021,10/19/2021,26.40062455,128.1675325,WHEAT,,,,,
KBS_MCSE,T4,T4R3,2021,SOY,5/27/2021,10/20/2021,35.5484759,148.1324458,WHEAT,,,,,
KBS_MCSE,T4,T4R4,2021,SOY,5/27/2021,10/20/2021,36.09269565,155.4135256,WHEAT,,,,,
