SiteID,Exp.Unit.ID,Time.Range,Treatment.ID,Crop,N2O.gN.ha.total,N2O.gN.ha.total.SE,CO2.gC.ha.total,CO2.gC.ha.total.SE,CH4.gC.ha.total,CH4.gC.ha.total.SE
INWLACRE,INWLACRE_NP_A73,2004-04-05 16:02:00 - 2005-03-07 13:00:00,INWLACRE_NP,Zea mays (Corn),2937.2297302947077,11.073399786382101,3183642.848153936,1791.2778459571325,-345.4472489032229,0.7326065780058422
INWLACRE,INWLACRE_MT_SA44,2004-04-05 08:18:00 - 2004-12-16 11:30:00,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),248.61601725058537,5.083677011409908,3578115.28240146,11712.348338711743,694.9479472111996,10.935122791132205
INWLACRE,INWLACRE_MT_SA21,2005-04-06 14:00:00 - 2007-12-13 12:30:00,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),9267.520143301273,1.233955736608596,26568737.84427913,33627.709468030196,-124.27887966572078,0.19132229384620117
INWLACRE,INWLACRE_CD_A82,2005-04-20 12:45:00 - 2011-09-01 13:00:00,INWLACRE_CD,Glycine max (Soybean),64517.92413681754,37.79432146194632,69396283.15780886,53271.473186624215,-519.4697230610254,0.016173867214590795
INWLACRE,INWLACRE_NM_A31,2005-04-20 12:45:00 - 2008-04-02 14:00:00,INWLACRE_NM,Zea mays (Corn),-80082.72298836417,132.4775053079327,11772602.811005475,8956.141915002565,37.37518335917142,0.27120700646537754
INWLACRE,INWLACRE_MT_SA13,2004-04-05 09:36:00 - 2004-12-16 11:30:00,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),571.0251885477945,2.767460428306069,5177199.465614766,15107.040289991737,-71.03857614186721,1.8941461064654916
INWLACRE,INWLACRE_NC_A14,2004-04-05 11:52:00 - 2004-12-16 11:10:00,INWLACRE_NC,Glycine max (Soybean),753.8294458114632,2.0313077202370287,5388283.175051497,18425.959499242155,-581.9673535396149,0.6445067880905255
INWLACRE,INWLACRE_Bare_AB3,2005-05-16 14:20:00 - 2011-09-01 13:00:00,INWLACRE_Bare,NA,26237.43744514257,9.118582369103825,40511415.85050565,2483.555554377471,-1339.2755748758177,0.2880493659317876
INWLACRE,INWLACRE_MR_SA41,2004-04-05 08:15:00 - 2004-12-16 11:30:00,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),757.7455440958496,5.026429902792954,5686565.810890179,14029.57034490768,454.5134029048901,20.04414743397198
INWLACRE,INWLACRE_CD_A71,2005-04-06 12:45:00 - 2010-09-15 08:30:00,INWLACRE_CD,Zea mays (Corn),-36988.01035422447,79.92954726451529,33684252.52116896,36668.95022255723,-1155.8120968591115,0.047910406412351676
INWLACRE,INWLACRE_NP_A35,2005-03-17 13:30:00 - 2010-09-15 08:30:00,INWLACRE_NP,Glycine max (Soybean),11960.619879384489,0.5035142868947795,20881656.04092512,13409.937243461367,-697.2682954153639,0.29728989582582727
INWLACRE,INWLACRE_NC_A41,2005-04-20 12:45:00 - 2011-09-01 13:00:00,INWLACRE_NC,Zea mays (Corn),116655.89718516794,31.128567926823365,56207090.999528915,16242.114829841157,-1711.6970428824104,0.3799465096923637
INWLACRE,INWLACRE_IT_A83,2008-04-16 13:30:00 - 2010-09-15 08:30:00,INWLACRE_IT,Zea mays (Corn),-16758.983847405594,115.27376762853211,20747931.64490479,11148.923639726423,-1370.6990780899387,2.4181427621109535
INWLACRE,INWLACRE_NC_A84,2005-04-06 12:45:00 - 2010-09-15 08:30:00,INWLACRE_NC,Zea mays (Corn),11434.431382636738,51.84362774165768,-2384735.830300459,50910.65246420187,1277.8488640944233,2.9282008159063957
INWLACRE,INWLACRE_NP_A81,2004-04-05 16:22:00 - 2005-03-07 13:00:00,INWLACRE_NP,Zea mays (Corn),2273.8701986691176,19.76952502664995,4041399.933920146,14646.208571676281,-149.04865096513342,3.2844116988242322
INWLACRE,INWLACRE_NR_A51,2008-04-16 13:30:00 - 2010-09-15 08:30:00,INWLACRE_NR,Zea mays (Corn),54710.25285146282,80.21697501304442,-27708901.093473706,48296.675301954994,1757.4642876378764,3.4276612188951052
INWLACRE,INWLACRE_MR_SA12,2004-04-05 09:37:00 - 2004-12-16 11:30:00,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),246.96211668172154,0.7306843992422757,4573936.897582921,8654.230245416782,356.77741598718745,6.222709998283325
INWLACRE,INWLACRE_NC_A34,2005-03-30 10:30:00 - 2010-09-15 08:30:00,INWLACRE_NC,Glycine max (Soybean),12515.526894010085,2.965818270139879,43214542.963047564,12962.116287104469,-890.4538650840087,0.1993805462555997
INWLACRE,INWLACRE_CD_A52,2005-04-06 12:45:00 - 2010-09-15 08:30:00,INWLACRE_CD,Zea mays (Corn),95202.09667031353,49.4861827295494,53380163.18757394,27036.48167349064,-10658.161697762363,7.839473134906614
INWLACRE,INWLACRE_CD_A32,2005-04-20 12:45:00 - 2011-09-01 13:00:00,INWLACRE_CD,Zea mays (Corn),-971295.5668122898,838.5503922073949,5577596.720560551,18304.211126626684,-2056.637153573731,4.520173240497753
INWLACRE,INWLACRE_NM_A83,2005-04-06 12:45:00 - 2007-04-10 13:30:00,INWLACRE_NM,Zea mays (Corn),38942.71991202743,22.467335783566625,7785868.100844239,7612.078411132849,-500.710221143335,0.036008585682543406
INWLACRE,INWLACRE_NC_A34,2005-04-20 12:45:00 - 2011-09-01 13:00:00,INWLACRE_NC,Zea mays (Corn),-54500.560668151324,304.1113157836541,62509872.10599462,20259.011730653634,-2064.3917493539698,0.20780604928400845
INWLACRE,INWLACRE_ML_SA43,2004-04-05 08:17:00 - 2004-12-16 11:30:00,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),1154.793602610018,7.595392345365483,6499790.645373616,12490.073468294626,-261.3509636765993,4.4634712317713445
INWLACRE,INWLACRE_NP_A43,2004-04-05 14:06:00 - 2005-03-07 13:00:00,INWLACRE_NP,Glycine max (Soybean),871.4479762577663,1.1688891770250684,5750358.793349945,16262.376770424513,-172.87813093520097,1.638627023537504
INWLACRE,INWLACRE_NS_A42,2004-04-05 14:06:00 - 2005-03-07 13:00:00,INWLACRE_NS,Glycine max (Soybean),2655.5038609001604,4.509702861023606,6857211.257525977,22164.022336060807,-1262.5341561360165,12.553451078288441
INWLACRE,INWLACRE_IT_A54,2008-04-16 13:30:00 - 2010-09-15 08:30:00,INWLACRE_IT,Zea mays (Corn),12697.683554369994,288.3848565981518,-28075870.485382132,56681.74305854414,1214.3027900759444,2.197483658300023
INWLACRE,INWLACRE_NP_A43,2005-04-20 12:45:00 - 2011-09-01 13:00:00,INWLACRE_NP,Zea mays (Corn),114656.47856079922,98.32367941516303,26934031.905929584,10084.704686162819,-1431.6369117035345,0.5797778051626966
INWLACRE,INWLACRE_NS_A33,2005-04-20 12:45:00 - 2008-04-02 14:00:00,INWLACRE_NS,Zea mays (Corn),20969.425442898413,11.849204114662298,9578656.548429344,9478.710184928283,-408.02513700028396,0.3215135207744807
